canonical_id,department
1,SFLE
513,DSE
3,DMI
520,DISQ
525,DISQ
14,SCOM
15,DMI
527,DSE
18,SRH
531,SRH
20,DCAR
533,DMCT
27,DST
544,SCOM
34,DMI
38,DSE
39,DMCT
43,DMCT
47,DISQ
54,DMI
55,SSI
59,DMCT
62,DMI
63,DMCT
574,DMI
577,DSE
580,DST
582,DST
71,DST
72,DMCT
74,DMI
77,DST
79,DMI
80,DMCT
89,DCAR
603,DST
97,DCAR
99,DMI
615,DMI
106,SDOC
621,SRH
110,SSI
626,SFLE
628,SSI
117,SFLE
118,DCAR
119,DISQ
120,DMI
634,DSE
122,DMCT
637,DMCT
638,DSE
642,DMI
131,DMI
134,DMI
649,DST
650,SRH
141,DMI
653,SFLE
656,DCAR
147,DST
660,DISQ
156,DMI
158,DMI
159,DMI
160,DMI
162,DMI
674,DSE
164,SSI
165,DMI
677,DMI
172,DSE
173,SSI
178,DMI
691,DISQ
181,SCOM
694,DMI
183,DMI
184,DSE
702,DMCT
193,DMI
706,DMCT
197,SFLE
198,DISQ
200,SFLE
205,DMI
720,DCAR
210,DSE
211,DMCT
213,DISQ
725,DST
215,DST
219,DMCT
220,DCAR
222,DSE
741,DCAR
743,DSE
232,SRH
744,SRH
236,DMI
751,DMI
753,DMCT
242,DMI
245,SDOC
246,DMCT
248,DSE
250,DMI
763,DMI
252,DSE
253,DISQ
257,DMCT
259,DMI
771,DSE
261,DMI
778,SCOM
267,DISQ
779,DST
269,DSE
270,DISQ
272,SRH
784,DMCT
275,DSE
790,DMCT
793,DMCT
285,DMCT
797,SRH
290,DG
295,DMI
809,DMCT
322,DSE
836,DISQ
333,DMI
845,SRH
339,DMCT
854,DSE
343,DISQ
346,DST
859,DMI
353,DMI
866,DMCT
867,DSE
871,DMCT
874,SFLE
366,DISQ
880,DMI
882,DSE
372,DMI
884,DMI
374,DSE
886,DCAR
889,DMCT
378,DCAR
893,DSE
894,DMCT
387,DST
908,DSE
909,DMI
401,DST
407,DMCT
921,DSE
923,DMCT
413,SFLE
420,DISQ
424,DSE
425,DMI
426,DST
939,DMCT
428,DISQ
429,DST
432,SFLE
434,DMI
435,SDOC
440,SDOC
441,SCOM
954,DST
445,DISQ
447,DMI
959,DMI
453,DMI
460,DMI
461,SFLE
464,DMI
465,DSE
466,DMCT
468,DMCT
475,SFLE
477,DSE
478,DISQ
486,DSE
487,DST
488,DST
489,DMI
491,DMI
496,SFLE
498,DMI
502,DG
504,DSE
510,DSE
