bin_id,node_id,in_degree,out_degree
0,489,3560,1364
0,886,5122,5120
0,71,1,11120
0,634,7681,5260
0,574,1380,1720
0,1362,3600,120
0,164,800,1740
0,779,5980,400
0,447,6980,720
0,763,3420,40
0,117,260,6520
0,429,4500,7320
0,215,4820,11140
0,1414,6020,20
0,97,2660,14260
0,1204,9100,360
0,461,2160,3580
0,1245,13540,700
0,20,80,7820
0,1209,11440,240
0,15,0,7300
0,985,6140,1420
0,200,1420,11780
0,1323,5960,240
0,491,4840,820
0,649,11520,3100
0,425,880,1240
0,242,940,7480
0,720,7280,2940
0,1090,9860,500
0,147,2120,13320
0,440,4900,1380
0,372,8880,6400
0,77,900,13320
0,295,4220,2660
0,27,200,4420
0,160,2140,7240
0,74,1060,8860
0,122,11660,7580
0,977,1860,100
0,434,220,300
0,426,4560,5620
0,741,9420,1660
0,290,1440,5060
0,1492,8140,0
0,89,60,5640
0,387,4720,8420
0,220,5900,4520
0,432,1240,3280
0,378,2640,9060
0,55,40,3900
0,859,12140,240
0,441,1240,720
0,487,1400,1980
0,475,240,220
0,677,460,4040
0,751,3320,2680
0,3,0,4200
0,435,4700,4300
0,158,4300,3640
0,401,5160,5840
0,653,3700,420
0,159,4140,5240
0,544,900,800
0,909,3920,40
0,970,1480,0
0,460,2140,3120
0,99,1100,28600
0,236,2040,1300
0,628,3000,400
0,79,460,3060
0,173,260,2960
0,1260,4300,200
0,603,14960,10600
0,156,1240,9760
0,34,420,9160
0,464,2620,960
0,165,300,2640
0,245,300,1400
0,259,7360,9800
0,884,15900,1220
0,162,3120,11020
0,261,4000,5600
0,232,60,11140
0,272,2540,11200
0,80,0,920
0,894,1540,0
0,694,4520,6160
0,62,20,0
0,120,600,2300
0,880,3040,2440
0,198,740,15680
0,267,7340,14260
0,621,1960,1520
0,797,3760,1160
0,14,0,3780
0,498,4080,160
0,468,17640,4740
0,743,8440,1060
0,753,6640,2660
0,172,0,12200
0,184,600,4020
0,210,2300,6060
0,333,3180,4500
0,642,6120,2940
0,269,20,1360
0,706,6900,4080
0,921,11900,320
0,59,80,4840
0,211,280,820
0,72,200,2540
0,1342,6740,40
0,119,40,29520
0,866,12920,2520
0,219,2860,1300
0,874,2460,2540
0,959,9620,80
0,322,5640,12280
0,893,4840,220
0,577,1200,1360
0,1485,16360,0
0,222,0,1420
0,793,5160,1500
0,771,220,420
0,248,580,9140
0,510,5200,5460
0,39,120,38880
0,465,520,2600
0,366,44460,9680
0,513,2200,820
0,270,2500,6820
0,923,5100,120
0,889,5680,180
0,285,4300,16960
0,520,3880,1980
0,674,1260,160
0,744,2600,6180
0,420,3400,1960
0,954,7700,260
0,504,2960,3500
0,638,1380,4380
0,854,180,20
0,626,3440,820
0,656,4920,8120
0,18,0,3000
0,339,5040,6320
0,531,2780,1360
0,118,1120,3180
0,407,20180,5620
0,246,820,6160
0,527,4660,3620
0,784,480,1280
0,650,1680,1060
0,845,14000,720
0,867,6360,1080
0,131,180,3200
0,466,1700,1560
0,496,60,620
0,445,4020,1640
0,691,6260,280
0,525,12680,3900
0,882,17560,5400
0,205,1560,8540
0,615,10360,3840
0,141,3620,4500
0,998,2360,1380
0,809,5000,880
0,43,20,4480
0,252,880,10540
0,250,3940,2440
0,38,0,2100
0,790,3340,100
0,428,5640,6060
0,1392,6920,0
0,502,820,400
0,346,1940,9360
0,424,4620,9740
0,343,2320,4980
0,486,2040,2780
0,871,8800,40
0,908,7920,60
0,275,6100,10420
0,725,2480,80
0,477,780,900
0,453,420,1360
0,1,0,20
0,63,60,10620
0,488,3920,11040
0,47,0,8620
0,197,140,6200
0,353,8740,1980
0,1164,27280,20
0,939,7760,0
0,702,340,600
0,54,20,4480
0,178,940,940
0,580,2700,120
0,836,9680,60
0,183,4280,12380
0,1067,10080,2580
0,582,7280,5880
0,413,2680,1900
0,478,5800,5380
0,660,2740,240
0,110,0,500
0,778,120,1160
0,106,0,300
0,253,420,880
0,134,0,20
0,193,20,0
1,489,920,994
1,859,6481,460
