timestamp,i,j,duration,time_norm
28840,574,1362,20,0
28840,164,779,20,0
28860,447,763,20,20
28860,117,429,20,20
28880,447,763,20,40
28900,215,1414,20,60
28900,97,1204,20,60
28900,461,1245,20,60
28900,20,1209,20,60
28900,15,20,20,60
28920,20,985,20,80
28920,200,1323,20,80
28920,447,763,20,80
28920,215,491,20,80
28920,20,649,20,80
28920,425,447,20,80
28920,215,242,20,80
28920,720,1090,20,80
28940,117,147,20,100
28940,200,440,20,100
28940,372,461,20,100
28940,20,77,20,100
28980,295,447,20,140
28980,27,763,20,140
28980,160,425,20,140
29000,447,763,20,160
29000,215,1414,20,160
29000,20,74,20,160
29020,122,649,20,180
29020,447,763,20,180
29020,649,977,20,180
29040,77,649,20,200
29040,97,429,20,200
29080,74,434,20,240
29080,215,1414,20,240
29100,242,461,20,260
29100,372,461,20,260
29100,426,741,20,260
29100,215,985,20,260
29120,447,763,20,280
29120,290,1492,20,280
29120,290,1204,20,280
29140,425,447,20,300
29140,97,147,20,300
29140,15,429,20,300
29160,200,461,20,320
29180,89,200,20,340
29200,372,977,20,360
29200,77,387,20,360
29220,20,1204,20,380
29240,574,1362,20,400
29240,574,977,20,400
29240,20,491,20,400
29260,220,432,20,420
29260,122,649,20,420
29260,220,434,20,420
29260,447,763,20,420
29260,77,779,20,420
29260,220,378,20,420
29260,55,434,20,420
29260,426,649,20,420
29260,220,779,20,420
29320,117,147,20,480
29320,89,461,20,480
29380,122,779,20,540
29400,859,1245,20,560
29400,117,429,20,560
29400,200,1245,20,560
29420,117,147,20,580
29420,74,1209,20,580
29420,447,763,20,580
29420,147,200,20,580
29420,200,574,20,580
29420,71,859,20,580
29440,574,1362,20,600
29440,20,985,20,600
29460,200,1245,20,620
29460,74,1492,20,620
29460,491,1414,20,620
29480,372,977,20,640
29480,74,77,20,640
29480,20,1245,20,640
29500,20,1209,20,660
29540,649,985,20,700
29580,429,441,20,740
29580,1323,1414,20,740
29580,447,763,20,740
29580,97,1414,20,740
29620,242,1362,20,780
29620,164,432,20,780
29620,487,977,20,780
29640,89,461,20,800
29640,74,426,20,800
29640,147,434,20,800
29660,215,1492,20,820
29660,117,441,20,820
29660,122,215,20,820
29680,122,1492,20,840
29680,74,372,20,840
29680,429,432,20,840
29680,122,779,20,840
29680,77,649,20,840
29680,74,985,20,840
29680,985,1209,20,840
29680,426,985,20,840
29680,372,1414,20,840
29680,387,1204,20,840
29680,74,426,20,840
29680,164,779,20,840
29680,461,779,20,840
29680,475,677,20,840
29700,74,77,20,860
29700,71,491,20,860
29700,491,985,20,860
29700,117,434,20,860
29700,387,649,20,860
29700,242,1492,20,860
29700,751,1492,20,860
29700,461,649,20,860
29720,117,200,20,880
29720,20,977,20,880
29720,432,649,20,880
29720,3,200,20,880
29720,779,1245,20,880
29720,440,779,20,880
29740,3,1090,20,900
29740,215,1362,20,900
29740,117,1090,20,900
29760,20,215,20,920
29760,71,378,20,920
29760,435,491,20,920
29780,74,977,20,940
29780,97,461,20,940
29780,71,74,20,940
29800,158,440,20,960
29800,447,763,20,960
29800,290,1204,20,960
29800,117,461,20,960
29800,15,77,20,960
29800,720,1090,20,960
29820,447,763,20,980
29820,77,97,20,980
29820,20,122,20,980
29820,71,1090,20,980
29840,475,677,20,1000
29840,401,441,20,1000
29860,74,1209,20,1020
29860,20,117,20,1020
29880,89,649,20,1040
29880,71,242,20,1040
29880,649,1323,20,1040
29880,77,649,20,1040
29880,859,1414,20,1040
29880,89,859,20,1040
29880,20,426,20,1040
29880,27,763,20,1040
29900,475,653,20,1060
29900,74,434,20,1060
29900,122,1362,20,1060
29900,122,426,20,1060
29900,122,1492,20,1060
29920,215,977,20,1080
29920,122,1245,20,1080
29920,215,290,20,1080
29920,117,1090,20,1080
29940,220,387,20,1100
29940,220,378,20,1100
29940,117,859,20,1100
29940,3,20,20,1100
29940,77,117,20,1100
29940,117,1090,20,1100
29940,387,859,20,1100
29960,425,447,20,1120
29960,74,426,20,1120
29960,74,985,20,1120
29980,159,653,20,1140
30000,425,544,20,1160
30000,295,544,20,1160
30000,909,970,20,1160
30020,460,489,20,1180
30020,200,290,20,1180
30020,290,574,20,1180
30020,99,236,20,1180
30020,378,741,20,1180
30020,99,628,20,1180
30020,387,741,20,1180
30040,160,677,20,1200
30040,79,173,20,1200
30040,429,440,20,1200
30060,429,441,20,1220
30060,77,215,20,1220
30060,491,574,20,1220
30080,117,147,20,1240
30080,401,977,20,1240
30080,401,1362,20,1240
30100,378,432,20,1260
30100,649,1362,20,1260
30100,147,1245,20,1260
30100,242,1362,20,1260
30100,1323,1492,20,1260
30100,117,432,20,1260
30100,387,435,20,1260
30100,71,1204,20,1260
30100,440,461,20,1260
30100,89,242,20,1260
30120,215,1090,20,1280
30120,122,779,20,1280
30120,487,491,20,1280
30120,3,401,20,1280
30120,242,432,20,1280
30120,97,215,20,1280
30120,74,122,20,1280
30120,215,720,20,1280
30120,215,426,20,1280
30120,20,1414,20,1280
30120,164,779,20,1280
30120,3,491,20,1280
30120,491,1260,20,1280
30140,491,1492,20,1300
30140,200,401,20,1300
30140,200,1323,20,1300
30140,487,491,20,1300
30140,751,1090,20,1300
30140,387,432,20,1300
30140,720,779,20,1300
30140,3,290,20,1300
30140,55,1323,20,1300
30140,487,1260,20,1300
30140,164,432,20,1300
30140,147,401,20,1300
30140,117,1323,20,1300
30160,89,649,20,1320
30160,461,491,20,1320
30160,401,1414,20,1320
30160,435,859,20,1320
30160,89,432,20,1320
30160,164,603,20,1320
30160,491,977,20,1320
30160,71,401,20,1320
30160,20,1245,20,1320
30160,164,487,20,1320
30160,290,1323,20,1320
30160,290,603,20,1320
30160,117,429,20,1320
30180,491,603,20,1340
30180,372,432,20,1340
30180,164,1090,20,1340
30180,372,977,20,1340
30180,20,1090,20,1340
30180,372,1492,20,1340
30180,242,649,20,1340
30180,859,1260,20,1340
30180,491,720,20,1340
30180,156,425,20,1340
30180,122,1323,20,1340
30180,20,74,20,1340
30180,220,1414,20,1340
30180,429,1090,20,1340
30180,55,1260,20,1340
30200,200,290,20,1360
30200,34,677,20,1360
30220,378,1260,20,1380
30240,720,985,20,1400
30240,147,387,20,1400
30260,491,1204,20,1420
30260,89,432,20,1420
30260,74,242,20,1420
30280,434,1260,20,1440
30280,1260,1492,20,1440
30280,441,1090,20,1440
30300,122,426,20,1460
30320,491,977,20,1480
30320,387,491,20,1480
30320,79,156,20,1480
30320,242,1492,20,1480
30320,77,491,20,1480
30320,173,460,20,1480
30340,117,200,20,1500
30340,387,432,20,1500
30340,79,156,20,1500
30340,74,77,20,1500
30340,242,435,20,1500
30340,117,491,20,1500
30340,74,491,20,1500
30340,164,1414,20,1500
30360,79,156,20,1520
30360,74,77,20,1520
30360,464,677,20,1520
30360,165,447,20,1520
30380,220,720,20,1540
30380,79,156,20,1540
30380,147,220,20,1540
30400,74,1362,20,1560
30420,242,491,20,1580
30420,200,461,20,1580
30420,378,461,20,1580
30440,89,387,20,1600
30440,441,1090,20,1600
30460,117,147,20,1620
30460,215,378,20,1620
30460,117,859,20,1620
30460,242,1245,20,1620
30460,242,378,20,1620
30480,387,432,20,1640
30480,242,432,20,1640
30480,147,441,20,1640
30480,215,220,20,1640
30500,117,200,20,1660
30500,89,432,20,1660
30500,1090,1362,20,1660
30500,117,242,20,1660
30520,20,441,20,1680
30540,220,242,20,1700
30540,77,649,20,1700
30540,165,447,20,1700
30540,215,720,20,1700
30560,77,985,20,1720
30560,71,429,20,1720
30560,74,290,20,1720
30560,71,290,20,1720
30560,34,245,20,1720
30560,491,1414,20,1720
30560,71,859,20,1720
30560,147,429,20,1720
30560,117,441,20,1720
30560,440,461,20,1720
30560,429,859,20,1720
30580,164,440,20,1740
30580,122,649,20,1740
30580,71,387,20,1740
30580,122,1260,20,1740
30580,164,720,20,1740
30580,160,165,20,1740
30580,628,763,20,1740
30580,429,649,20,1740
30580,147,164,20,1740
30580,242,1260,20,1740
30580,20,435,20,1740
30580,435,720,20,1740
30580,242,1204,20,1740
30600,259,628,20,1760
30600,447,884,20,1760
30600,440,751,20,1760
30600,89,1492,20,1760
30600,117,378,20,1760
30600,215,1492,20,1760
30600,165,884,20,1760
30600,434,1260,20,1760
30620,429,432,20,1780
30620,74,215,20,1780
30620,432,1414,20,1780
30620,27,628,20,1780
30620,464,909,20,1780
30620,378,720,20,1780
30640,117,147,20,1800
30640,649,720,20,1800
30640,200,1323,20,1800
30640,649,1362,20,1800
30640,425,447,20,1800
30640,20,1362,20,1800
30660,290,574,20,1820
30660,160,425,20,1820
30660,97,147,20,1820
30660,117,432,20,1820
30660,491,859,20,1820
30660,89,1245,20,1820
30660,97,985,20,1820
30660,378,432,20,1820
30660,27,165,20,1820
30660,290,720,20,1820
30660,20,77,20,1820
30680,425,447,20,1840
30680,117,429,20,1840
30680,290,440,20,1840
30700,574,977,20,1860
30700,165,447,20,1860
30700,74,242,20,1860
30720,491,1362,20,1880
30720,245,653,20,1880
30720,242,649,20,1880
30720,147,603,20,1880
30720,159,970,20,1880
30720,387,977,20,1880
30720,426,1323,20,1880
30720,165,447,20,1880
30720,426,649,20,1880
30720,603,1492,20,1880
30720,165,425,20,1880
30720,27,165,20,1880
30740,89,432,20,1900
30740,89,1362,20,1900
30740,89,429,20,1900
30740,15,429,20,1900
30740,290,432,20,1900
30760,97,1492,20,1920
30760,242,720,20,1920
30760,97,1414,20,1920
30760,97,441,20,1920
30780,295,763,20,1940
30780,429,1245,20,1940
30780,460,909,20,1940
30780,99,628,20,1940
30780,220,574,20,1940
30780,464,909,20,1940
30780,147,429,20,1940
30800,89,401,20,1960
30800,200,574,20,1960
30800,147,200,20,1960
30800,242,487,20,1960
30800,220,1204,20,1960
30800,242,1090,20,1960
30800,89,720,20,1960
30800,200,977,20,1960
30800,89,1090,20,1960
30800,220,977,20,1960
30820,71,429,20,1980
30820,97,147,20,1980
30820,200,242,20,1980
30820,15,1362,20,1980
30820,71,574,20,1980
30820,475,677,20,1980
30820,491,1323,20,1980
30840,20,242,20,2000
30840,401,432,20,2000
30840,259,425,20,2000
30840,200,215,20,2000
30860,20,401,20,2020
30860,122,426,20,2020
30860,20,147,20,2020
30860,74,574,20,2020
30880,1204,1323,20,2040
30880,89,432,20,2040
30880,15,20,20,2040
30880,491,720,20,2040
30880,117,461,20,2040
30880,242,1204,20,2040
30880,242,1090,20,2040
30880,117,441,20,2040
30880,1323,1492,20,2040
30900,122,147,20,2060
30900,77,122,20,2060
30900,20,1362,20,2060
30940,20,1414,20,2100
30940,491,1090,20,2100
30940,89,401,20,2100
30960,242,378,20,2120
30960,77,1260,20,2120
30960,242,1362,20,2120
30960,89,432,20,2120
30960,74,1414,20,2120
30960,77,491,20,2120
30960,242,1260,20,2120
30960,74,487,20,2120
30980,3,117,20,2140
30980,432,1245,20,2140
30980,461,1492,20,2140
30980,147,441,20,2140
30980,55,220,20,2140
30980,27,447,20,2140
30980,55,1245,20,2140
30980,71,1323,20,2140
30980,77,387,20,2140
30980,434,1323,20,2140
30980,461,1090,20,2140
30980,603,779,20,2140
30980,117,441,20,2140
30980,77,1323,20,2140
31000,15,117,20,2160
31000,20,215,20,2160
31000,432,1414,20,2160
31000,71,649,20,2160
31000,15,164,20,2160
31000,603,779,20,2160
31000,117,440,20,2160
31020,1362,1492,20,2180
31020,34,653,20,2180
31020,242,487,20,2180
31020,15,372,20,2180
31020,55,1245,20,2180
31020,242,1209,20,2180
31040,378,1090,20,2200
31040,77,985,20,2200
31040,574,1362,20,2200
31040,220,574,20,2200
31040,290,491,20,2200
31040,603,779,20,2200
