timestamp,i,j,duration
28840,574,1362,20
28840,164,779,20
28860,447,763,20
28860,117,429,20
28880,447,763,20
28900,215,1414,20
28900,97,1204,20
28900,461,1245,20
28900,20,1209,20
28900,15,20,20
28920,20,985,20
28920,200,1323,20
28920,447,763,20
28920,215,491,20
28920,20,649,20
28920,425,447,20
28920,215,242,20
28920,720,1090,20
28940,117,147,20
28940,200,440,20
28940,372,461,20
28940,20,77,20
28980,295,447,20
28980,27,763,20
28980,160,425,20
29000,447,763,20
29000,215,1414,20
29000,20,74,20
29020,122,649,20
29020,447,763,20
29020,649,977,20
29040,77,649,20
29040,97,429,20
29080,74,434,20
29080,215,1414,20
29100,242,461,20
29100,372,461,20
29100,426,741,20
29100,215,985,20
29120,447,763,20
29120,290,1492,20
29120,290,1204,20
29140,425,447,20
29140,97,147,20
29140,15,429,20
29160,200,461,20
29180,89,200,20
29200,372,977,20
29200,77,387,20
29220,20,1204,20
29240,574,1362,20
29240,574,977,20
29240,20,491,20
29260,220,432,20
29260,122,649,20
29260,220,434,20
29260,447,763,20
29260,77,779,20
29260,220,378,20
29260,55,434,20
29260,426,649,20
29260,220,779,20
29320,117,147,20
29320,89,461,20
29380,122,779,20
29400,859,1245,20
29400,117,429,20
29400,200,1245,20
29420,117,147,20
29420,74,1209,20
29420,447,763,20
29420,147,200,20
29420,200,574,20
29420,71,859,20
29440,574,1362,20
29440,20,985,20
29460,200,1245,20
29460,74,1492,20
29460,491,1414,20
29480,372,977,20
29480,74,77,20
29480,20,1245,20
29500,20,1209,20
29540,649,985,20
29580,429,441,20
29580,1323,1414,20
29580,447,763,20
29580,97,1414,20
29620,242,1362,20
29620,164,432,20
29620,487,977,20
29640,89,461,20
29640,74,426,20
29640,147,434,20
29660,215,1492,20
29660,117,441,20
29660,122,215,20
29680,122,1492,20
29680,74,372,20
29680,429,432,20
29680,122,779,20
29680,77,649,20
29680,74,985,20
29680,985,1209,20
29680,426,985,20
29680,372,1414,20
29680,387,1204,20
29680,74,426,20
29680,164,779,20
29680,461,779,20
29680,475,677,20
29700,74,77,20
29700,71,491,20
29700,491,985,20
29700,117,434,20
29700,387,649,20
29700,242,1492,20
29700,751,1492,20
29700,461,649,20
29720,117,200,20
29720,20,977,20
29720,432,649,20
29720,3,200,20
29720,779,1245,20
29720,440,779,20
29740,3,1090,20
29740,215,1362,20
29740,117,1090,20
29760,20,215,20
29760,71,378,20
29760,435,491,20
29780,74,977,20
29780,97,461,20
29780,71,74,20
29800,158,440,20
29800,447,763,20
29800,290,1204,20
29800,117,461,20
29800,15,77,20
29800,720,1090,20
29820,447,763,20
29820,77,97,20
29820,20,122,20
29820,71,1090,20
29840,475,677,20
29840,401,441,20
29860,74,1209,20
29860,20,117,20
29880,89,649,20
29880,71,242,20
29880,649,1323,20
29880,77,649,20
29880,859,1414,20
29880,89,859,20
29880,20,426,20
29880,27,763,20
29900,475,653,20
29900,74,434,20
29900,122,1362,20
29900,122,426,20
29900,122,1492,20
29920,215,977,20
29920,122,1245,20
29920,215,290,20
29920,117,1090,20
29940,220,387,20
29940,220,378,20
29940,117,859,20
29940,3,20,20
29940,77,117,20
29940,117,1090,20
29940,387,859,20
29960,425,447,20
29960,74,426,20
29960,74,985,20
29980,159,653,20
30000,425,544,20
30000,295,544,20
30000,909,970,20
30020,460,489,20
30020,200,290,20
30020,290,574,20
30020,99,236,20
30020,378,741,20
30020,99,628,20
30020,387,741,20
30040,160,677,20
30040,79,173,20
30040,429,440,20
30060,429,441,20
30060,77,215,20
30060,491,574,20
30080,117,147,20
30080,401,977,20
30080,401,1362,20
30100,378,432,20
30100,649,1362,20
30100,147,1245,20
30100,242,1362,20
30100,1323,1492,20
30100,117,432,20
30100,387,435,20
30100,71,1204,20
30100,440,461,20
